,true_answer,model_answer,question
176070,an Iron Curtain,What is the Iron Curtain?,"'In a speech in Missouri in 1946, Winston Churchill declared that this division had fallen between East & West'"
206330,"""Freddie Mac""",What is Freddie Mac?,"'Similar to Fannie Mae, it's the nickname of the Federal Home Loan Mortgage Corporation'"
174439,A Midsummer Night\'s Dream,"What is ""A Midsummer Night's Dream""?","'Lysander uses the word ""bedroom"" while trying to convince Hermia to sleep close to him in this comic play'"
76622,a skit,What is a SNL skit?,"'An acted-out segment on ""Saturday Night Live""'"
93622,"(Clyde ""The Glide"") Drexler",Who is Clyde Drexler?,'Retired NBAer<br />The Glide'
20475,Garbage/trash bag,What is a trash bag?,"'It may make you look ""Hefty"", but Heloise says a plastic one of these is a great substitute for a raincoat'"
200242,Star Wars: The Phantom Menace,"What is ""The Phantom Menace""?","'Time said tickets for the 1st critics' screening of this prequel were ""More precious than a passport out of Kosovo""'"
1901,Poor Richard\'s Almanack,What is Poor Richard's Almanack?,'Ben Franklin used a pen name to publish this almanac from 1732 to 1757'
125124,(New York) Knicks,What is the New York Knicks?,'Willis Reed wore No. 19 as a leader of this 1970 & 1973 NBA championship team'
175170,"""Four Horsemen of Notre Dame""","What is ""Who are the Four Horsemen of Notre Dame?""","'On Oct. 19, 1924 Grantland Rice wrote that ""Their real names are Stuhldreher, Miller, Crowley, and Leyden""'"
71639,People\'s Republic of China,What is the People's Republic of China?,'In its own tongue it's called Zhongzua Renmin Gongheguo'
206805,(Gerard Manley) Hopkins,Who is Gerard Manley Hopkins?,"'In ""Spring and Fall: To a Young Child"" this ""Manley"" poet told Margaret, ""It is Margaret you mourn for""'"
151398,(John) Cheever,Who is John Cheever?,"'This Pulitzer Prize winner penned ""The Wapshot Scandal""'"
148142,Grey,"What is ""Gray""?","'Zane,or Lady Jane<br />(4)'"
83294,Balaam\'s ass,Who is Balaam's Donkey?,'After it was smitten a third time the Lord opened its mouth & it spoke'
157143,(Ernst) Mach,Who is Ernest Mach?,'The name of this physicist is used to describe measurements of supersonic speed'
92561,"""The Gay \'90s""",What is the Gay Nineties?,'Term for the decade just before the turn of the 19th to the 20th century'
73408,Au (Aurum),What is Au?,'Gold has the atomic number 79 & this chemical symbol'
210208,the Pinkerton agency,What is the Pinkerton Detective Agency?,"'This agency's symbol of an unblinking eye gave birth to the phrase ""private eye""'"
128433,(Sue) Grafton,Who is Sue Grafton?,"'Each correct response in the ""VOCABULARY"" category was a title word in this author's alphabet mystery series'"
197267,The Wolfman,"What is ""The Wolf Man""?","'Claude Rains beats Lon Chaney, Jr. to death with a silver walking stick in this 1941 film'"
73229,"""Scary Spice""",What is Scary Spice?,"'Spice Girl Mel B. gets this nickname from her pierced tongue, wild hair & wilder lifestyle'"
8291,Pastorals,What are pastoral plays?,"'Plays were either comedies, tragedies or these love tales about woodland goddesses & shepherds'"
215470,Newton\'s 3 Laws of Motion,What are Newton's Three Laws of Motion?,"'A body at rest stays at rest, F=ma & reaction is always equal & opposite in action'"
106363,James Garfield,Who was President James A. Garfield?,'In 1881 Stanley Matthews failed under Hayes but was confirmed under this doomed president'
143122,a buffet,What is the Palms' Buffet?,'It's where to go in Vegas if you've got more appetite than money; the Palms' lunch one is just $7.99'
35012,Dostoyevsky,Who is Fyodor Dostoevsky?,"'At the end of this man's ""The Idiot"", Prince Myshkin goes back to his doctor in Switzerland after failing at love'"
113146,the Cousteau Society,What is the Dolphin Research Center?,'This research society has published the Dolphin Log for kids & the Calypso Log for adults'
73752,humans,What is deforestation?,"'Eagles & leopards are known to hunt <a href=""http://www.j-archive.com/media/2010-07-30_J_05.jpg"" target=""_blank"">DeBrazza's monkeys</a> but intrusion by these primates is their biggest threat'"
110247,a penny loafer,What are penny loafers?,'Casual slip-on shoes with flaps on the front of the tongues sometimes used to hold a coin'
149117,Stephen Douglas,Who is Stephen A. Douglas?,"'This politician died on June 3, 1861, 39 days after giving a speech in Springfield, Illinois supporting the Union'"
161893,blinis,What is a blini?,"'Whatever kind of caviar you eat, it's traditionally served on one of these Russian buckwheat pancakes'"
131789,pregnant,What is pregnancy?,"'USA Today says a dolphin, hearing 2 heartbeats with its sonar, can tell if a woman's in this condition'"
129488,(John) Tyler,Who is John Tyler?,"'On a very special episode, this Virginian's run as the first Whig VP comes to a stunning end'"
186934,a sprite,What is a Fairy?,"'The name of this type of wee supernatural being is from the Latin for ""spirit""'"
31166,the wings,"What is the ""wings""?",'Actors “wait in” this offstage area on either side of the proscenium before they fly onto the stage'
185831,the autumn mist,"What is ""autumn mist""?","'Puff the Magic Dragon ""frolicked in"" this ""in a land called Honah Lee""'"
199749,"""Pilgrim\'s Progress""",What is Pilgrim's Progress?,'A state of depression is called a Slough of Despond after a deep bog in this John Bunyan classic'
54348,Wagon Train,"What is ""Bonanza""?","'For years ""Gunsmoke"" & this Western about folks headin' west were the No. 1 & 2 shows on TV'"
107627,The Bride of Frankenstein,"What is ""Bride of Frankenstein""?","'This first sequel to ""Frankenstein"" was released in 1935; both films were directed by James Whale'"
169208,(William Randolph) Hearst,Who is William Randolph Hearst?,'He had more than 300 field animals in his private zoo at his San Simeon estate'
124068,the Bada Bing!,What is the Bada Bing?,"'For business or pleasure, Tony & the boys frequented this strip club owned by Silvio'"
100725,General Motors & General Electric,What are General Electric and General Motors?,"'Use your general funds in these 2 ""General"" companies in the top 5 firms in the Fortune 500'"
184662,"chocolate, strawberry & vanilla","What are vanilla, chocolate, and strawberry?",'These 3 flavors usually make up Neapolitan ice cream'
16843,Hungary,What is Hungarian cuisine?,'Rhapsodies & goulash'
22273,cattle,What is a cow?,"'8,500 years ago, the Zebu or Brahman type of this animal was domesticated in Asia'"
61108,a Bronx cheer,"What is ""boob"", from the Bronx?","'""A loud sound expressing disapproval"", from a NYC borough'"
129810,"Bismarck, North Dakota","What is the capital of North Dakota, Bismarck?",'It's the only state capital named for a German chancellor'
93889,"""Weird Al"" Capone","What is ""Weird Al Capone""?",'Mr. Yankovic's persona leading the mob in 1920s Chicago'
71141,Mike\'s likes,What is 'Mike's likes'?,'Piazza's fondnesses'
126037,early (first accepted),"What does 'Proto-' mean? 

Answer: It means 'First', 'Primitive' or 'Original'.",'Proto-'
164177,St. Jude,Who is Saint Jude?,'This patron saint of lost causes shares a feast day with Simon the Zealot on October 28'
126882,(E.B.) White,Who is E.B. White?,"'Thurber's first book, 1929's ""Is Sex Necessary?"", was co-written with this collaborator of William Strunk'"
99902,(Howard) Carter,Who is Howard Carter?,'This Egyptologist first became associated with Lord Carnarvon in 1906 while excavating the Theban necropolis'
129469,pulleys,What is a pulley?,"'(<a href=""http://www.j-archive.com/media/2006-05-18_J_26.jpg"" target=""_blank"">Jon of the Clue Crew uses a power tool.</a>)  The belt drive used in many devices is basically two of these simple machines'"
202907,"""Boss""",What is Boss Tweed?,'William Marcy Tweed's better known moniker'
49332,Ugly,"What is ""Universal Heartbeat""?","'Juliana Hatfield sang, ""I'm"" this ""with a capital U, and I don't need a mirror to see that it's true""'"
140014,Troy Aikman (or Roger Staubach),Who are Troy Aikman and Roger Staubach?,'One of the 2 Cowboys QBs who've been named Super Bowl MVP'
67725,Lancelot & Guinevere,Who are Lancelot and Guinevere?,"'A scandalous, legendary Camelot couple: <br />Lancevere'"
28144,Fry an egg on the sidewalk,"What is ""It's hot enough to fry an egg""?","'For this cliche to be true, the sidewalk must reach at least 130 degrees to permit coagulation'"
154452,Lakers\' acres,What are the LA Lakers' acres?,"'Minneapolis-then-Los Angeles group's 4,840-square-yard parcels'"
170168,Sierra Nevadas,What is the Sierra Nevada mountain range?,'A small part of this California mountain range extends into the Lake Tahoe area of Nevada'
64740,(John) Irving,Who is John Irving?,"'Mrs. Berry & Egg die in a plane crash on their way to Vienna in his 1981 novel ""The Hotel New Hampshire""'"
150844,satisfactory,"What does the letter ""S"" stand for in the academic grading abbreviation ""S""?",'On a report card'
85458,love & war,What are love and war?,"'""All is fair in"" these 2 things'"
46699,Dr. Jekyll & Mr. Hyde,Who are Jekyll and Hyde?,'Someone exhibiting attributes of these 2 related characters from an 1886 mystery might have a split personality'
7095,Bureaus,What is a Bureau?,'Government ones of these include of Indian Affairs & of the Census'
197117,"Maria, Full of Grace","What is ""Maria Full of Grace""?","'For this 2004 film, Catalina Sandino Moreno was the first Best Actress Oscar nominee to speak all her lines in Spanish'"
67539,Women\'s suffrage movement,What is the Women's Suffrage Movement?,'This movement promoted by Susan B. Anthony is central to the novel's plot'
154398,aviation administration,What are Federal and Aviation?,'The 2 A's in FAA (They rhyme)'
193397,Shrek 2,Who is Shrek?,"'In a 2004 sequel, this ogre travels to meet his in-laws, King Harold & Queen Lillian'"
183653,(Conan) O\'Brien,Who is Conan O'Brien?,"'For this ex-NBC ""Late Night"" guy you'll find ""the voice of the people. sorry, people""'"
108366,the Kitty Hawk,What is the USS Kitty Hawk?,"'This aircraft carrier named for a North Carolina site has been nicknamed ""Battle Cat""'"
39782,a can of worms,"What is a ""can of worms""?",'A fisherman might get bait out of this; it's a common term for a complicated problem'
24289,to bleep,"What is ""bleep""?","'A 5-letter verb meaning to edit a bad word from a broadcast, it originally meant the sound used in the edit'"
21113,Portia,"What is ""The Merchant of Venice""?","'Disguised as a lawyer, she saves Antonio from the revenge of Shylock'"
121862,(Tim) Gunn,Who is Tim Gunn?,"'Hello, designers!  This """"Project Runway"" man, AKA as the Silver Fox, is chief creative officer at Liz Claiborne'"
82580,The Fine Young Cannibals,What is Fine Young Cannibals?,"'Naming themselves after a Natalie Wood film, this band went to No. 1 in 1989 with ""She Drives Me Crazy""'"
103080,planter\'s punch,"What is a ""Planter's Punch""?","'This orange juice- & rum-based cocktail could be called a ""southern farmer's left jab""'"
95677,sidesaddle,"What is ""side saddle""?",'This is the way the ladies sometimes ride'
209956,G.I.,What is GI?,'Hey Joe!  It's informal for a U.S. soldier'
207349,mail (Liam),"What is ""mail""?",'Liam likes to sort this'
272,Istanbul,What are cities that are not currently the national capital of their respective countries?,"'Istanbul,<br />Ottawa,<br />Amman'"
4868,Mine (luMINEscent),What is a luminescent mine?,'Carry something luminescent when you go down into one of these'
134584,a crocus,What is the crocus flower?,"'If you'd like to produce your own saffron, you have to plant a species of this flower'"
56233,(Warren) Buffett,Who is Warren Buffett?,"'In 2006 this ""Sage of Omaha"" donated $31 billion to the Bill & Melinda Gates Foundation'"
129127,"""Oedipus Rex""",What is the play Oedipus Rex by Sophocles?,"'Man kills his dad & marries his mom, & that's before the play even begins!'"
172942,a glade,"What is ""glade""?",'5-letter word for an open space in a forest'
53559,Luci Arnaz,"What is ""Who is Lucy Arnaz?""",'Desi's daughter'
285,the bobsled,What is bobsled?,'In 2002 Vonetta Flowers & Jill Bakken won gold in the 2-woman version of this high-speed sport'
168625,John Lackland,Who is King John of England?,"'Succeeding his brother Richard the Lionhearted as king, he also succeeded in alienating everyone he knew'"
157618,the Philip Morris Company,What is the stock symbol for Altria Group?,"'Largest seller of consumer packaged goods, including Marlboro & Miller Beer:<br />MO'"
49495,(Elizabeth) Dole,Who is Elizabeth Dole?,"'After heading up 2 Cabinet departments, she represented North Carolina in the Senate from 2003 to 2009'"
156754,sex,What is male gender?,"'In mammals, trait determined by presence or absence of Y-chromosome'"
109520,the Hudson River,What is Hudson River?,"'The school that produced 19th century landscapes, like the one <a href=""http://www.j-archive.com/media/2006-04-19_J_17.jpg"" target=""_blank"">seen</a> <a href=""http://www.j-archive.com/media/2006-04-19_J_17a.jpg"" target=""_blank"">here</a>, bears the name of this geographic feature'"
78360,(Anders) Celsius,Who is Anders Celsius?,"'When he invented his scale, he originally made 0 the boiling point of water & 100 its freezing point; it changed later'"
97301,It\'s A Wonderful Life,What is It's a Wonderful Life?,"'Bert & Ernie of ""Sesame Street"" are named after characters in this classic Christmas film'"
59352,the Shuttle,What is the Space Shuttle?,"'Rockets produce 7 million pounds of thrust during takeoff of this vehicle, the space transportation system'"
90423,Born in East L.A.,"What is ""Born in East LA""?","'In this 1987 film, Cheech Marin gets deported to Mexico & must make his way back to the U.S. without any I.D.'"
136423,the chimp(anzee),What is the chimpanzee?,"'5 million years ago our ancestors said, ""See ya, wouldn't want to be ya!"" to this living creature, genus Pan'"
130002,All the King\'s Men,What is All the King's Men by Robert Penn Warren?,"'This novel is narrated by one-time journalist Jack Burden, who becomes an aide to politician Willie Stark'"
43343,(Richard E.) Byrd,What is Marie Byrd Land?,"'Explorer Richard E. named an unclaimed region of Antarctica Marie this land, for his wife'"
23588,the (Chicago) Bulls,What is the Chicago Bulls?,"'Norm Van Lier was so upset this NBA team didn't retire his No. 2, he put a hex on anyone who wore it; lucky it wasn't 23'"
45905,art deco style,What is Art Deco?,"'(<a href=""http://www.j-archive.com/media/2008-01-11_J_19.jpg"" target=""_blank"">Jimmy stands in front of a large Christ sculpture.</a>) Christ the Redeemer of Corcovado Sanctuary is the world's largest sculpture in <a href=""http://www.j-archive.com/media/2008-01-11_J_19a.jpg"" target=""_blank"">this style</a>, named for a 1925 Paris exposition'"
171699,a deer,What is deer-like?,"'""Cervine"" means like this ruminant'"
85784,(Stephen) Douglas,Who is Stephen A. Douglas?,'In 1860 he got 12 electoral votes but you got the job; feel free to debate...'
65753,the Aleutians,What are the Aleutian Islands?,"'(<a href=""http://www.j-archive.com/media/2009-06-18_DJ_26.jpg"" target=""_blank"">Jon of the Clue Crew shows a map of the North Pacific on the monitor.</a>)  In 1740, Bering set out from Okhotsk, Russia, sailing eastward to America; on his return, he sighted many of these Alaskan islands'"
106048,Rudolph Giuliani,Who is Rudy Giuliani?,"'The Times felt ""Grand Illusion"" failed to be the definitive, nuanced portrait of this man, ""America's Mayor""'"
37688,soap,What is urine?,"'It was used as a medicine from 600 B.C. until 2nd century A.D., when people began to wash with it'"
136753,Jacob & Esau,Who are Jacob and Esau?,'Famous twins hatched out in Genesis 25'
203201,the ridge,What is the Mid-Atlantic Ridge?,"'Earth's longest mountain range is the mid-oceanic this, over 30,000 miles long'"
185633,a nest,What is a dinosaur nest?,"'In 2006 a fossilized one of these containing 22 broken eggs sold at auction for $420,000'"
154024,4  (360/90),What is 360 divided by 90? The answer is 4.,'The degrees in a circle divided by the degrees in a right angle'
159187,(Jerry) Seinfeld,Who is Jerry Seinfeld?,"'This sitcom star says Massapequa, N.Y., where he grew up, has an Indian name that means ""by the mall""'"
17832,the praying mantis,What is a praying mantis?,"'Bow your head & name this insect, seen <a href=""http://www.j-archive.com/media/2009-10-27_DJ_07.jpg"" target=""_blank"">here</a>'"
7959,Narcissism,What is narcissistic personality disorder?,'This self-absorbed personality disorder is named for a mythical youth who loved his reflection'
38814,females,What is female?,"'Among blue whales, the largest animal ever on Earth, this sex is larger'"
35234,Eggos,What is Eggo?,'The Dorsa family created this frozen waffle'
2865,the frog\'s tongue,What is the frog's tongue?,'It's attached at the front of the mouth so the frog can flick it out rapidly'
152462,Rumplestiltskin,Who is Rumpelstiltskin?,'He spun gold from straw'
167573,Venus & the Earth,What are Earth and Venus?,"'Among planets in our solar system whose size is known, these 2 are closest in diameter'"
104803,Maximillian,Who is Maximilian I?,'He was sent to Mexico in 1864 to set up an empire for Napoleon III'
73623,Bacchus (or Dionysus),Who is the Greek God Dionysus?,"'The thyrsus, an ivy-covered staff, was an attribute of this god who inspired wild festivities'"
84264,(Ferdinand) Marcos,Who is Ferdinand Marcos?,'This world leader was born in September 1917 on Luzon; he died in September 1989 in Honolulu'
101197,the Anglican Church (or Church of England),What is the Church of England?,"'Though he later became an agnostic, in his youth Darwin followed the traditions of this church'"
153234,Pit/Stone,What is the pit or stone?,'Cling peaches are called that because they cling to this'
161972,(Colin) Powell,Who is Colin Powell?,"'His Nov. 12, 2004 letter read, ""I, therefore, resign as the 65th Secretary of State, effectve at your pleasure""'"
147679,Cosi,"What is ""Così""?","'Mozart:<br />""____ Fan Tutte""'"
79126,a barrier reef,What is an offshore barrier reef?,"'Of the main types of coral reef, this one is miles offshore with a channel between it & the mainland'"
188535,Johnson\'s Baby Shampoo,What is Johnson's Baby Shampoo?,"'In 1954 the ""No More Tears"" formula of this product was introduced'"
187920,"""The Catcher in the Rye""",What is The Catcher in the Rye?,'This J.D. Salinger novel tells the story of 2 days in the life of a 16-year-old boy'
196758,(Emiliano) Zapata,Who is Emiliano Zapata?,'This agrarian reformer who sided with Pancho Villa is considered a Mexican national hero'
139711,Hope & Hot Springs,What are Hot Springs and Hope?,'They're the Arkansas cities where Bill Clinton was born & where he grew up'
11051,a demitasse,What are Demitasse cups?,"'For Ethiopian meals, coffee is usually served in this small cups, from the French for ""half-cup""'"
95315,Three\'s Company,"What is ""Three's Company""?","'""The Ropers"", who were spun off from this show, lost their lease after 1 season'"
93527,"""An Officer & A Gentleman""","What is ""An Officer and a Gentleman""?","'As a Naval cadet Gere suffered 13 weeks of agony under drill sergeant Louis Gossett, Jr. in this film'"
126626,smell (or odor),What is its strong aroma?,"'As Limburger ages, it gains in flavor & this quality for which it is notorious'"
76491,the Congo,What is Congo?,'From 1971 to 1997 the Democratic Republic of this was called Zaire'
200602,Spain & the United States,What are Spain and the United States?,"'Luis Munoz Rivera, who fought for Puerto Rico's autonomy from these 2 countries, has his own holiday'"
2436,"""Aida""",What is Aida?,"'(""Triumph March"")'"
67473,"""Queen of Spades""",What is The Queen of Spades?,"'A Tchaikovsky opera about a card-playing countess, or the item seen here:'"
204254,1776 or 1976,What are 1975 and 1976?,'1 of the 2 years on the front of the 50-cent coin that displayed Independence Hall on the reverse'
119991,Jumper cables,What is the proper way to jumpstart a car?,'Connect the 2 positive posts; connect the charged battery's negative post to metal on the dead car'
88513,Bonnie Blue,"What is the name of the girl in question, who received the pony, in the movie ""Gone with the Wind""?","'If Rhett & Scarlett hadn't bought this girl that damn pony, Rhett might never have said that famous last line'"
64473,the tibia & the fibula,What are the tibia and fibula bones?,"'(<a href=""http://www.j-archive.com/media/2009-07-08_J_23.jpg"" target=""_blank"">Jimmy of the Clue Crew shows a radiograph of a frog on the monitor.</a>)  A frog's hind legs have a humanlike femur, but unlike humans, their single <a href=""http://www.j-archive.com/media/2009-07-08_J_23a.jpg"" target=""_blank"">shin bone</a> is these two bones fused together'"
183916,1,"What is ""one""? In Germany, the gesture of extending the thumb and index finger in the shape of an ""O"" means ""one,"" and it is often used by waiters to confirm a customer's order.","'In Germany the old thumbs-up doesn't show approval, it simply means this, maybe as the start of a series'"
35142,(Lyndon) Johnson,Who is Lyndon B. Johnson?,'He drove around his Texas ranch in a convertible & stopped to have the Secret Service refill his scotch & soda'
150196,Lady Astor,Who is Nancy Astor?,'This Virginia-born lady was 40 when she was elected to the British parliament in 1919'
111979,Raisin Bran,What is cereal?,"'The ""Two scoops!"" on boxes of this doesn't refer to zinc, but it's a good source anyway'"
112316,Barbarossa (Redbeard),Who is Barbarossa?,"'This red-bearded corsair, whose original name was Khidr, had an older brother who also had red whiskers'"
188628,"""Memphis Blues""","What is ""The Memphis Blues""?","'This W.C. Handy blues began as a Tennessee campaign song titled ""Mr. Crump""'"
38845,For what it\'s worth,"What is ""For What It's Worth""?","'FWIW:<br />""For""<br />this'"
94268,Vegan Regan (Regan Vegan accepted),What is vegan Regan?,"'Goneril & Cordelia's sister, after eschewing eating all animal products'"
70,the stone,What is a stone?,'5-letter word for the hard interior of a peach'
144361,O. Henry (William Sydney Porter),Who is O. Henry?,"'This ""Gift Of The Magi"" author served 3 years in an Ohio prison for embezzlement'"
171205,the O\'Jays,Who are The O'Jays?,"'""Put Your Hands Together"" for this ""Love Train"" group that joined the Rock & Roll Hall of Fame in 2005'"
180461,the Titanic sinking,What is the sinking of the Titanic?,"'May 3, 1912:<br />The first victims of this disaster are buried in Halifax, Nova Scotia'"
117263,the King James version,What is the King James Bible?,'This 17th century translation has become a standard for bibles'
68183,chimichangas,What is a chimichanga?,'Head south of the border or to any good Mexican restaurant for one of these deep-fried burritos'
69367,Moors,Who were the Moorish Muslims?,'A golden age of Jewish culture began in the 10th C. under these people who ruled Spain'
145112,the Frontier,What is the American Frontier?,"'In 1893, as it was disappearing, F.J. Turner wrote a famous essay on ""The Significance of"" it ""in American History""'"
102707,Cable News Network,What is CNN?,'Wolf & Coop give us the scoop:<br />cnn.com'
129331,K-Mart,What is Kmart?,"'Attention, shoppers -- Borders Books once belonged to this major discount retailer'"
89174,chain smoke,What is chain smoking?,"'Light one cigarette from the previous one, smoke until done, repeat; don't try this at home, kids'"
168568,HMS Beagle (or Beagle itself),Who is the HMS Beagle?,"'The Fitzroya was named for Robert Fitzroy, captain of this ship on which Darwin sailed'"
173008,Andrew Jackson (or John Quincy Adams),Who was the President that John C. Calhoun served as Vice President?,'John C. Calhoun (1 of the 2)'
92622,Mantle & Maris,Who are Mickey Mantle and Roger Maris?,"'Known as the ""M & M Boys"", these 2 Yankees slugged a total of 115 regular season home runs in 1961'"
198316,Campbell\'s Soup,What is Campbell's?,"'Over the years, this company has described its products as ""Mm! Mm! Good!""'"
28167,Mao Tse-tung,Who is Mao Zedong?,'The Chinese plan called the Great Leap Forward was initiated by this leader in 1958'
30057,flunkie,What is a flunky?,"'It's a mindlessly obedient person, perhaps from (an attendant at someone's) ""flank""'"
35937,Yom Kippur,What is Christmas?,'(Sofia of the Clue Crew in front of the Anne Frank House in Amsterdam)  The Anne Frank House here in Amsterdam is open daily except for this holiday'
36270,Flush the toilet,What is flushing?,"'When you do this, the stopper ball lifts to allow water from the tank to flow into the bowl'"
83493,(John) Ritter,Who is John Ritter?,"'<a href=""http://www.j-archive.com/media/2007-05-11_DJ_10.jpg"" target=""_blank"">This</a> star of ""Eight Simple Rules"" was a drama major at USC & a student award for comic acting is given in his honor'"
170720,W.A. Mozart,Who is Wolfgang Amadeus Mozart?,"'Lorenzo Da Ponte supplied composers with over 40 librettos, including ""Cosi fan tutte"" for this man'"
104921,Chicago,What is the city that is home to DePaul University?,'DePaul University'
143061,Church of Jesus Christ of Latter-Day Saints (Mormon),What is The Church of Jesus Christ of Latter-day Saints?,'In 1995 Gordon B. Hinckley was ordained as the 15th president of this Utah-based church'
57559,VISTA (Volunteers In Service To America),What is VISTA?,"'In 1964 it was established as the ""Domestic Peace Corps""'"
161267,When Harry Met Sally...,What is When Harry Met Sally?,"'1989:<br />""I'll have what she's having""'"
139500,"""Sweet Child O\' Mine""","What is ""Sweet Child O' Mine""?","'Guns N' Roses hit no, 1 in September 1988 with this ""sweet"" hit featuring Slash's tasty guitar licks'"
134786,William Randolph Hearst,What is the Hearst Castle?,"'Architect Julia Morgan designed this publisher's castle at San Simeon, California'"
96994,Rowan & Martin\'s Laugh-In,What is Rowan and Martin's Laugh-In?,"'The Flying Fickle Finger of Fate determined that at the end of the '60s, this variety series was TV's No. 1 show'"
92329,"Quincy Jones (for Michael Jackson\'s ""Thriller"")",Who is Quincy Jones?,'He produced the all-time bestselling pop album by a single artist'
27355,All Saints Day,What is All Saints' Day?,'The French call this religious day La Toussaint'
116271,Hewlett-Packard,What is Hewlett Packard?,'It computes that Carly Fiorin is chairman & C.E.O. of this computer company abbreviated H.P.'
21859,Robert Heinlein,Who is Robert A. Heinlein?,"'He won 6 Hugo Awards for his fiction, including ""Starship Troopers"" & ""Stranger in a Strange Land""'"
50207,Taiwan (Republic of China),What is Taiwan?,"'In 1978 Chiang Kai-shek's son, Chiang Ching-kuo, was elected president of this island nation'"
172578,Zambonis,What are ice resurfacing machines?,'(VIDEO DAILY DOUBLE):<br />These machines became popular after Sonja Henie ordered 2 of them to take on her tour:'
150767,"""Don\'t Stop Believing""","What is ""Don't Stop Believin'""?","'Journey's 1981 album ""Escape"" featured this hit that went to No. 9 on the charts'"
180193,(Edith) Wharton,Who is Edith Wharton?,"'This ""Age of Innocence"" author made her debut in society in 1879'"
25286,Fear and Loathing in Las Vegas (by Hunter Thompson),What is Fear and Loathing in Las Vegas by Hunter S. Thompson?,"'This 1972 book, a bestseller in 2005, begins, ""We were somewhere around Barstow... when the drugs began to take hold""'"
308,a goose,"What is ""Goose""?","'Duck, duck, l'oie; (l'oie of course referring to this other feathered friend)'"
2167,screw in a light bulb,"What is ""How many [insert group] does it take to screw in a lightbulb?""","'A joking question asked about many groups is ""How many does it take to"" do this'"
125699,Vasco de Balboa,Who is Vasco Núñez de Balboa?,'He stowed away with his dog Leoncico & went on to view the Pacific'
96021,Queen\'s Bench (or King\'s Bench),What is Queen's Bench?,"'This old British court of Common Law was abbreviated Q.B. or K.B., depending'"
28173,Baby Doc Duvalier,"Who is Jean-Claude Duvalier, also known as ""Baby Doc""?","'In 1986 this dictator fled Haiti, ending 28 years of rule by his family'"
107086,Paper/shopping bags,What are paper bags?,'In 1870 Mattie Knight patented a machine that folded flat bottoms on these grocery carriers'
36665,Joe McCarthy,Who is Joseph McCarthy?,"'His nickname, ""Tailgunner Joe"", was based on a serious WWII combat record'"
121622,the speaker,What is Speaker?,'1-word term for the presiding officer in Britain's House of Commons & our House of Representatives'
161915,The Fog,"What is ""Fog"" by Carl Sandburg?","'Sandburg wrote that it ""sits looking over harbor and city on silent haunches and then moves on""'"
31813,palms of your hand & the soles of your feet,What are the palms of the hands and the soles of the feet?,"'In primates, volar skin, which is hairless & sweats, is found in these 2 places on the body'"
169021,a Christmas tree farm,What are Christmas tree farms?,"'The first of these farms, which do a big seasonal business, was started with the planting of 25,000 spruce in 1901'"
197139,a placecard,"What are ""place cards""?","'Let me just peek at these at dinner--I'm seated between Gisele--fabulous!--&... aw crud, Hugo Chavez!!'"
109940,Curaçao,What is Curacao?,'Let's drink a toast to this Caribbean island; it's the largest in the Netherlands Antilles'
99900,(James) Joyce,Who is James Joyce?,"'In 1922 Virginia Woolf wrote of his ""Ulysses"", ""Never have I read such tosh""'"
99394,the redeye,"What is a ""Red-eye"" bass?",'This name for the rock bass sounds like it takes late-night flights'
216336,(Sue) Grafton,"What is the name of the author who wrote the novel ""O Is for Outlaw"" in the Kinsey Millhone Alphabet mystery series?","'""'O' Is for Outlaw""'"
179664,a report,"What is a ""report""?","'As well as a summary of account, it can be an explosive noise, as from a rifle'"
113314,Brunhilde,Who is Brünnhilde?,"'In ""The Ring of the Nibelung"", Siegfried braved a ring of fire to save this goddess'"
193918,Ayers Rock (Uluru),What is Uluru?,"'""Rock"" out on this Australian landmark'"
108358,a stew,What is Pichelsteiner?,"'Pichelsteiner Fleisch, a favorite of Otto von Bismarck, is this one-pot concoction, made with beef & pork'"
163589,(Jack) Paar,Who is Jack Paar?,"'Conan becomes the fifth host of ""The Tonight Show"" after Jay Leno, Johnny Carson, Steve Allen & him'"
93845,Pocahontas & John Rolfe,Who are John Rolfe and Pocahontas?,'The marriage of this pair in 1614 brought peace between the Jamestown colony & local native Americans'
16353,a lateral,What is the lateral pass?,"'The great college coach Amos Stagg is credited with inventing this, also known as a backward pass'"
164396,(H.P.) Lovecraft,Who is H.P. Lovecraft?,'Howard Phillips'
127527,Yertle (the Turtle),Who is Yertle the Turtle?,'This turtle king stacks up all the other turtles to build a towering throne only to fall down from the top'
65389,Siegfried & Roy,Who are Siegfried and Roy?,"'In early 1996 they celebrated their 15,000th live performance: [video clue]'"
84713,(Albert) Sabin,Who is Albert Sabin?,'The Distinguished Americans series has honored Jonas Salk & this virologist who also developed a polio vaccine'
200427,tossing the bouquet,What is tossing the bridal bouquet?,'This tradition began because the bride fled crowds trying to take something from her for good luck'
192937,The Three Amigos,"What is ""Three Amigos""?","'Ned Nederlander, Dusty Bottoms & Lucky Day go up against El Guapo in this 1986 movie'"
140665,Naomi,"What is the book and chapter this quote is from in the King James Bible? 

The answer is: What is the Book of Ruth, Chapter 1?","'Ruth told her, ""Whither thou goest, I will go""'"
23459,Go-Go\'s,Who are The Go-Go's?,"'This girl group is waterskiing on the cover of 1982's ""Vacation""'"
